prompt,label
Fix the typo: seperate,0
Generate a Python class to manage patient medical records,1
"Hello, how are you?",0
Explain the concept of relativity in physics,1
Translate 'hello' to Spanish,0
Create a legal contract for a software development project,1
What is the capital of France?,0
Develop a machine learning model to predict stock prices,1
Write a poem about nature,1
What is 2 + 2?,0
Design a database schema for an e-commerce platform,1
How do you say 'goodbye' in French?,0
Analyze the themes in Shakespeare's Romeo and Juliet,1
What is the definition of mitochondria?,0
Create a mobile app to track personal finances,1
Write a short story about a character who learns a new skill,1
What is the chemical symbol for gold?,0
Develop a algorithm to solve the traveling salesman problem,1
Explain the concept of blockchain technology,1
How do you say 'thank you' in Chinese?,0
Generate a report on the impact of climate change on global economies,1
What is the largest planet in our solar system?,0
Design a user interface for a web application,1
Write a script for a video on social media marketing,1
What is the formula for calculating the area of a circle?,0
Create a program to simulate a chatbot conversation,1
Analyze the benefits and drawbacks of a vegan diet,1
How do you say 'yes' in German?,0
Develop a plan for a marketing campaign to launch a new product,1
Explain the concept of artificial intelligence,1
What is the smallest country in the world?,0
Generate a 3D model of a building using CAD software,1
Write a recipe for a traditional Italian dish,1
What is the definition of photosynthesis?,0
Create a schedule for a project with multiple tasks and deadlines,1
How do you say 'sorry' in Japanese?,0
Develop a strategy for improving customer service,1
Explain the concept of quantum mechanics,1
What is the largest living species of lizard?,0
Design a network architecture for a large enterprise,1
Write a press release announcing a new product launch,1
What is the formula for calculating the volume of a sphere?,0
Create a virtual reality experience for a historical event,1
Analyze the impact of social media on mental health,1
How do you say 'hello' in Arabic?,0
Develop a plan for a sustainable energy project,1
Explain the concept of cryptography,1
What is the definition of entropy?,0
Generate a report on the state of the global economy,1
Write a script for a podcast on science and technology,1
What is the chemical symbol for silver?,0
What is the largest planet in our solar system?,0
Explain the concept of relativity in detailed mathematical terms,1
"Hello, how are you?",0
"Discuss the implications of AI on modern society, including economic, social, and ethical considerations",1
What does DNA stand for?,0
"Design a clinical trial to evaluate the efficacy of a new cancer treatment, including participant selection, randomization, and outcome measures",1
Translate 'hello' to Spanish,0
"Analyze the themes of existentialism in the works of Jean-Paul Sartre and Martin Heidegger, and evaluate their relevance to contemporary philosophy",1
What is the capital of France?,0
"Develop a comprehensive cybersecurity plan for a small business, including network security, data encryption, and employee training",1
Write a short poem about nature,0
Explain the concept of quantum entanglement and its potential applications in quantum computing,1
What is the definition of a meme?,0
"Create a detailed lesson plan for teaching high school students about the American Revolution, including primary sources and interactive activities",1
How do you say 'goodbye' in French?,0
"Design a machine learning model to predict patient outcomes based on electronic health records, including feature engineering and model evaluation",1
What is the largest living species of lizard?,0
"Evaluate the economic benefits and drawbacks of implementing a universal basic income, including its potential impact on poverty, inequality, and economic growth",1
Write a simple program in Python to print 'Hello World',0
"Develop a comprehensive marketing strategy for a new product launch, including social media, advertising, and public relations",1
What is the chemical symbol for gold?,0
"Analyze the historical context and cultural significance of the works of William Shakespeare, including their relevance to contemporary literature and theater",1
How do you calculate the area of a triangle?,0
"Design an experiment to test the effect of climate change on plant growth, including data collection and statistical analysis",1
What is the definition of a black hole?,0
"Create a detailed financial plan for a startup company, including budgeting, forecasting, and fundraising",1
Write a short story about a character who learns a new skill,0
Explain the concept of blockchain technology and its potential applications in finance and supply chain management,1
What is the largest state in the United States by population?,0
"Develop a comprehensive plan for disaster response and recovery, including emergency preparedness, search and rescue, and long-term rebuilding",1
How do you say 'thank you' in German?,0
"Design a study to investigate the relationship between social media use and mental health in adolescents, including survey design and data analysis",1
What is the definition of a pandemic?,0
"Create a detailed business plan for a sustainable energy company, including market analysis, financial projections, and operational strategy",1
Write a poem about love,0
Explain the concept of gene editing and its potential applications in medicine and agriculture,1
What is the chemical symbol for silver?,0
"Develop a comprehensive plan for urban planning and development, including transportation, housing, and public spaces",1
How do you calculate the circumference of a circle?,0
"Design an experiment to test the effect of exercise on cognitive function in older adults, including data collection and statistical analysis",1
What is the definition of a fossil?,0
"Create a detailed plan for a charity event, including fundraising, marketing, and logistics",1
Write a short script for a conversation between two friends,0
"Explain the concept of artificial intelligence and its potential applications in healthcare, finance, and education",1
What is the largest city in the world by population?,0
"Develop a comprehensive plan for environmental sustainability, including renewable energy, waste reduction, and conservation",1
How do you say 'yes' in Italian?,0
"Design a study to investigate the relationship between nutrition and mental health, including survey design and data analysis",1
What is the definition of a volcano?,0
"Create a detailed plan for a business expansion, including market research, financial projections, and operational strategy",1
Write a short story about a character who overcomes a challenge,0
"Explain the concept of virtual reality and its potential applications in education, entertainment, and healthcare",1
What is the chemical symbol for copper?,0
"Develop a comprehensive plan for a community development project, including needs assessment, project design, and evaluation",1
How do you calculate the volume of a rectangular prism?,0
"Design an experiment to test the effect of music on cognitive function in children, including data collection and statistical analysis",1
What is the definition of a solar eclipse?,0
"Create a detailed plan for a marketing campaign, including social media, advertising, and public relations",1
Write a poem about hope,0
Explain the concept of renewable energy and its potential applications in reducing greenhouse gas emissions,1
"Hello, how are you?",0
Write a 10-page research paper on the societal impact of AI on employment,1
What's the definition of photosynthesis?,0
Generate a Python script to visualize COVID-19 cases globally using matplotlib,1
"Can you translate 'Hello, my name is John' to Spanish?",0
Explain the concept of dark matter in astrophysics and its implications on cosmology,1
What's the capital of France?,0
Develop a machine learning model using scikit-learn to predict stock prices based on historical data,1
I'd like to know the symptoms of diabetes,0
Create a comprehensive business plan for a startup in the renewable energy sector,1
How do I make a grilled cheese sandwich?,0
Derive the equation for the area of a circle and explain its application in geometry,1
What's the best way to learn French?,0
Analyze the themes of love and betrayal in Shakespeare's Romeo and Juliet,1
Can you write a short poem about summer?,0
Design a database schema for an e-commerce platform using MySQL,1
Explain the concept of supply and demand in economics,1
What's the chemical formula for water?,0
Develop a JavaScript application to simulate a banking system with user authentication,1
Can you recommend a good restaurant in New York?,0
Discuss the ethical implications of gene editing technologies like CRISPR,1
What's the definition of biodiversity?,0
Create a statistical model to predict the outcome of a football game based on team performance,1
How do I plant a tree?,0
Explain the concept of quantum entanglement and its applications in physics,1
Can you translate 'I love reading books' to German?,0
Design a neural network architecture for image classification using TensorFlow,1
What's the function of the human liver?,0
Analyze the character development of Holden Caulfield in The Catcher in the Rye,1
Can you write a joke about cats?,0
Develop a mobile app for tracking personal finance using React Native,1
Explain the concept of relativity and its implications on space-time,1
What's the definition of a black hole?,0
Create a marketing strategy for a new product launch in the tech industry,1
Can you recommend a good book on self-improvement?,0
Discuss the impact of climate change on global food security,1
What's the chemical equation for combustion?,0
Develop a chatbot using natural language processing techniques for customer support,1
Can you explain the concept of blockchain and its applications?,1
What's the definition of mitosis?,0
Design an algorithm for solving the traveling salesman problem,1
Can you write a short story about a character who discovers a hidden world?,1
What's the function of the human brain?,0
Analyze the themes of power and corruption in Macbeth,1
Can you recommend a good podcast on science and technology?,0
Develop a predictive model for forecasting weather patterns using machine learning techniques,1
"Hi, how are you?",0
Explain the concept of quantum entanglement in physics,1
What is the capital of France?,0
Draft a comprehensive business plan for a startup in the renewable energy sector,1
Can you translate 'hello' into Spanish?,0
Develop an algorithm for natural language processing to analyze patient reviews,1
What is the definition of hypertension?,0
Create a poem about the changing seasons,1
What is the chemical symbol for gold?,0
Design a neural network model for predicting stock prices,1
How do you say 'goodbye' in German?,0
Explain the legal implications of a non-disclosure agreement in employment law,1
What is the formula for calculating the area of a circle?,0
Develop a mobile application for tracking personal fitness goals,1
What is the largest planet in our solar system?,0
Discuss the ethical considerations of artificial intelligence in healthcare,1
Can you write a short story about a character who learns a new skill?,1
What is the definition of photosynthesis?,0
Create a database schema for managing customer information,1
How do you greeting someone in Japanese?,0
Explain the concept of relativity in physics,1
What is the most commonly used programming language?,0
Develop a marketing strategy for a new product launch,1
Can you explain the concept of supply and demand in economics?,1
What is the formula for calculating the volume of a rectangular prism?,0
Design an experiment to test the effectiveness of a new medication,1
How do you say 'thank you' in Chinese?,0
Discuss the impact of climate change on global food systems,1
What is the definition of mitosis?,0
Create a data visualization dashboard for analyzing sales trends,1
Can you write a script for a short film about friendship?,1
What is the chemical symbol for silver?,0
Develop a machine learning model for predicting customer churn,1
How do you greeting someone in Arabic?,0
Explain the concept of blockchain technology,1
What is the largest living species of lizard?,0
Design a user interface for a web application,1
Can you explain the concept of evolutionary biology?,1
What is the formula for calculating the surface area of a sphere?,0
Develop a comprehensive plan for disaster recovery and business continuity,1
How do you say 'good morning' in Italian?,0
Discuss the implications of privacy laws on data collection and usage,1
What is the definition of synaptic plasticity?,0
Create a virtual reality experience for educational purposes,1
Can you write a song about heartbreak?,1
What is the chemical symbol for copper?,0
Develop a predictive maintenance model for industrial equipment,1
How do you greeting someone in Portuguese?,0
Explain the concept of game theory in economics,1
What is the largest city in South America?,0
Fix the typo: seperation,0
Explain the concept of dark matter in cosmology,1
"Hello, how are you?",0
Write a Python program to simulate a banking system with user authentication and transaction history,1
What is the capital of France?,0
Analyze the implications of the 4th Amendment on digital privacy in the context of modern surveillance technology,1
Translate 'hello' to Spanish,0
Develop an algorithm to solve the Traveling Salesman Problem using genetic programming,1
Define mitosis,0
"Create a poem about the seasons, using metaphors and similes to describe their characteristics",1
What is the chemical symbol for gold?,0
